Date,Price,Open,High,Low,Vol.,,Change %
8/3/2020,164.1,164.5,164.5,164,140,,-0.0106
7/31/2020,165.85,166.5,166.5,165,120,,0.0003
7/30/2020,165.8,166.4,166.4,164,160,,-0.0036
7/29/2020,166.4,166,166.5,165.5,250,,0.0042
7/28/2020,165.7,167,167,165.5,200,,-0.0072
7/27/2020,166.9,167,167.5,166.8,50,,-0.011
7/24/2020,168.75,168,169,168,110,,0.009
7/23/2020,167.25,168.75,168.75,166.6,100,,-0.0018
7/22/2020,167.55,167,167.5,167,40,,0.0033
7/21/2020,167,166,167,165.75,150,,0.003
7/20/2020,166.5,168.45,168.45,165.5,100,,-0.0133
7/17/2020,168.75,169,169.5,168.25,80,,0
7/16/2020,168.75,170,171,168.75,140,,-0.0056
7/15/2020,169.7,168.5,169.5,168.5,220,,0.0107
7/14/2020,167.9,167.9,169,167.9,160,,0.006
7/13/2020,166.9,168,168,167,20,,-0.0095
7/10/2020,168.5,168.65,169.6,167.65,110,,-0.0056
7/9/2020,169.45,170.05,170.5,169,290,,0.0009
7/8/2020,169.3,168,169.75,168,170,,0.0516
7/7/2020,161,161,161,161,,,0
7/6/2020,161,161,161,161,,,0.0019
7/3/2020,160.7,160.7,160.7,160.7,,,0.0107
7/2/2020,159,159,159,159,,,-0.0053
7/1/2020,159.85,159.85,159.85,159.85,,,-0.0068
6/30/2020,160.95,160.95,160.95,160.95,,,0.0028
6/29/2020,160.5,160.5,160.5,160.5,,,0.0223
6/26/2020,157,157,157,157,,,-0.001
6/25/2020,157.15,157.15,157.15,157.15,,,-0.0016
6/24/2020,157.4,157,157,157,,,-0.0032
6/23/2020,157.9,159,159,157,,,0.0016
6/22/2020,157.65,157.65,157.65,157.65,,,-0.0116
6/19/2020,159.5,159.5,159.5,159.5,,,0.0085
6/18/2020,158.15,158.15,158.15,158.15,,,-0.0019
6/17/2020,158.45,158.45,158.45,158.45,,,-0.0038
6/16/2020,159.05,159.05,159.05,159.05,,,-0.009
6/15/2020,160.5,160.5,160.5,160.5,,,-0.0077
6/12/2020,161.75,161.75,161.75,161.75,,,0.0078
6/11/2020,160.5,160,160,160,10,,-0.0123
6/10/2020,162.5,162.5,162.5,162.5,,,0.0031
6/9/2020,162,162,162,162,,,-0.0031
6/8/2020,162.5,162.5,162.5,162.5,,,-0.0091
6/5/2020,164,164,164,164,,,-0.0024
6/4/2020,164.4,164.4,164.4,164.4,,,0.0208
6/3/2020,161.05,161.05,161.05,161.05,,,-0.0049
6/2/2020,161.85,162.75,162.75,162.75,10,,0.0065
6/1/2020,160.8,160.8,160.8,160.8,,,-0.0171
5/29/2020,163.6,163.6,163.6,163.6,,,0.0043
5/28/2020,162.9,162.9,162.9,162.9,,,0.0087
5/27/2020,161.5,160.5,161.5,160.5,20,,0.0069
5/26/2020,160.4,160.4,160.4,160.4,,,0.0028
5/22/2020,159.95,159.95,159.95,159.95,,,0
5/21/2020,159.95,159.95,159.95,159.95,,,0.0146
5/20/2020,157.65,155.5,155.5,155.5,10,,0.0204
5/19/2020,154.5,154.5,154.5,154.5,,,-0.0026
